,Sr.No,States/UT,Confirmed,Recovered,Deceased,X,Y
0,1,Andaman and Nicobar Islands,33,33,0,11.66702557,92.73598262
1,2,Andhra Pradesh,1930,887,44,14.7504291,78.57002559
2,3,Arunachal Pradesh,1,1,0,27.10039878,93.61660071
3,4,Assam,63,34,2,26.7499809,94.21666744
4,5,Bihar,591,322,5,25.78541445,87.4799727
5,6,Chandigarh,169,24,2,30.71999697,76.78000565
6,7,Chhattisgarh,59,43,0,22.09042035,82.15998734
7,8,Dadar Nagar Haveli,1,0,0,20.26657819,73.0166178
8,9,Delhi,6542,2020,73,28.6699929,77.23000403
9,10,Goa,7,7,0,15.491997,73.81800065
10,11,Gujarat,7796,2091,472,22.2587,71.1924
11,12,Haryana,675,290,9,28.45000633,77.01999101
12,13,Himachal Pradesh,50,38,2,31.10002545,77.16659704
13,14,Jammu and Kashmir,836,368,9,34.29995933,74.46665849
14,15,Jharkhand,156,78,3,23.80039349,86.41998572
15,16,Karnataka,794,386,30,12.57038129,76.91999711
16,17,Kerala,505,485,4,8.900372741,76.56999263
17,18,Ladakh,42,17,0,34.209515,77.615112
18,19,Madhya Pradesh,3614,1676,215,21.30039105,76.13001949
19,20,Maharashtra,20228,3800,779,19.25023195,73.16017493
20,21,Manipur,2,2,0,24.79997072,93.95001705
21,22,Meghalaya,13,10,1,25.57049217,91.8800142
22,23,Mizoram,1,1,0,23.71039899,92.72001461
23,24,Odisha,294,63,2,19.82042971,85.90001746
24,25,Puducherry,9,6,0,11.93499371,79.83000037
25,26,Punjab,1762,157,31,31.51997398,75.98000281
26,27,Rajasthan,3708,2026,106,26.44999921,74.63998124
27,28,Tamil Nadu,6535,1824,44,12.92038576,79.15004187
28,29,Telengana,1163,750,30,18.1124,79.0193
29,30,Tripura,134,2,0,23.83540428,91.27999914
30,31,Uttarakhand,67,46,1,30.0668,79.0193
31,32,Uttar Pradesh,3373,1499,74,27.59998069,78.05000565
32,33,West Bengal,1786,372,171,22.9868,87.855
